institution,address,latitude,longitude,region,description
University College London,"Christopher Ingold Building, Cluster Room G20, 20 Gordon Street, London WC1H 0AJ",51.52538039,-0.132326449,London,"University College London, Christopher Ingold Building, Cluster Room G20, 20 Gordon Street, London WC1H 0AJ"
University of Cambridge,"Bioinformatics Training Room, Craik-Marshall Building, Downing Site",52.201923,0.122492,Eastern,"University of Cambridge, Bioinformatics Training Room, Craik-Marshall Building, Downing Site"
University of Southampton,"Room 3077, Building 32",50.934345,-1.396227,South East,"University of Southampton, Room 3077, Building 32"
University of Edinburgh,"Main Library at 30 George Square, Edinburgh EH8 9LJ",55.942828000000006,-3.189147,Scotland,"University of Edinburgh, Main Library at 30 George Square, Edinburgh EH8 9LJ"
University of Edinburgh,"Main Library at 30 George Square, Edinburgh EH8 9LJ",55.942828000000006,-3.189147,Scotland,"University of Edinburgh, Main Library at 30 George Square, Edinburgh EH8 9LJ"
University of Oxford,"Herbertson Room, School of Geography and the Environment",51.752021,-1.2577260000000001,South East,"University of Oxford, Herbertson Room, School of Geography and the Environment"
NERC / University of Leeds,"School of Earth and Environment, The University of Leeds, Leeds, LS2 9JT",53.805572999999995,-1.555464,Yorkshire and The Humber,"NERC / University of Leeds, School of Earth and Environment, The University of Leeds, Leeds, LS2 9JT"
NERC / University of Leeds,"EC Stoner Building, The University of Leeds, Leeds, LS2 9JT",53.80549499999999,-1.552041,Yorkshire and The Humber,"NERC / University of Leeds, EC Stoner Building, The University of Leeds, Leeds, LS2 9JT"
University of Leeds,"School of Mechanical Engineering (5th floor cluster, room 5.34), Woodhouse Lane, Leeds, LS2 9JT",53.809847,-1.555563,Yorkshire and The Humber,"University of Leeds, School of Mechanical Engineering (5th floor cluster, room 5.34), Woodhouse Lane, Leeds, LS2 9JT"
University College London,"ISD training room B07; 1-19 Torrington Place, WC1E 7HB",51.521869,-0.134323,London,"University College London, ISD training room B07; 1-19 Torrington Place, WC1E 7HB"
University of Leeds,"Liberty Building, Western Campus, University of Leeds, LS2 9JT",53.808225,-1.562333,Yorkshire and The Humber,"University of Leeds, Liberty Building, Western Campus, University of Leeds, LS2 9JT"
The Queen's University Belfast,"Teaching Room 1, Medical Biology Centre (Teaching Centre), Queen's University Belfast",54.584408999999994,-5.934049,Northern Ireland,"The Queen's University Belfast, Teaching Room 1, Medical Biology Centre (Teaching Centre), Queen's University Belfast"
Earlham Institute,"Darwin Room, Norwich Research Park, Norwich, NR4 7UH",52.62173000000001,1.2183423,Eastern,"Earlham Institute, Darwin Room, Norwich Research Park, Norwich, NR4 7UH"
University of Cambridge,"Bioinformatics Training Room, Craik-Marshall Building, Downing Site",52.201951,0.12251400000000001,Eastern,"University of Cambridge, Bioinformatics Training Room, Craik-Marshall Building, Downing Site"
"Royal Holloway, University of London","Room 103, McCrea Building, Royal Holloway, Egham, Surrey, TW20 0EX",51.425985299999994,-0.5646045,South East,"Royal Holloway, University of London, Room 103, McCrea Building, Royal Holloway, Egham, Surrey, TW20 0EX"
University of Edinburgh,"Room 4325C, James Clerk Maxwell Building, The University of Edinburgh",55.92155,-3.174546,Scotland,"University of Edinburgh, Room 4325C, James Clerk Maxwell Building, The University of Edinburgh"
University of Leeds,"Woodhouse Lane, Leeds, LS2 9JT",53.808116000000005,-1.55231,Yorkshire and The Humber,"University of Leeds, Woodhouse Lane, Leeds, LS2 9JT"
Imperial College London,"Imperial College London, ICT Training Room, 204 Central Library Sherfield Building, Exhibition Road, South Kensington, London, SW7 2AZ",51.4988,-0.174877,London,"Imperial College London, Imperial College London, ICT Training Room, 204 Central Library Sherfield Building, Exhibition Road, South Kensington, London, SW7 2AZ"
"EPSRC & MRC Centre for Doctoral Training in Regenerative Medicine, University of Manchester","Room C24, Sackville St Building, Sackville Street, Manchester",53.47614,-2.234798,North West,"EPSRC & MRC Centre for Doctoral Training in Regenerative Medicine, University of Manchester, Room C24, Sackville St Building, Sackville Street, Manchester"
Earlham Institute,"Darwin Room, Norwich Research Park, Norwich, NR4 7UH",52.621697,-1.2192889999999998,East Midlands,"Earlham Institute, Darwin Room, Norwich Research Park, Norwich, NR4 7UH"
University College London,"Christopher Ingold Building, Cluster Room G20, 20 Gordon Street, London WC1H 0AJ",51.52538039,-0.132326449,London,"University College London, Christopher Ingold Building, Cluster Room G20, 20 Gordon Street, London WC1H 0AJ"
University of Edinburgh (EPCC),"University of Edinburgh, Room 1026c, James Clerk Maxwell Building, King's Buildings, Peter Guthrie Tait Road, Edinburgh, EH9 3FD",55.9216414,-3.1738225,Scotland,"University of Edinburgh (EPCC), University of Edinburgh, Room 1026c, James Clerk Maxwell Building, King's Buildings, Peter Guthrie Tait Road, Edinburgh, EH9 3FD"
Natural History Museum,"Natural History Museum, Cromwell Road, London, SW7 5BD",51.495933,-0.176367,London,"Natural History Museum, Natural History Museum, Cromwell Road, London, SW7 5BD"
Natural History Museum,"Natural History Museum, Cromwell Road, London, SW7 5BD",51.495933,-0.176367,London,"Natural History Museum, Natural History Museum, Cromwell Road, London, SW7 5BD"
NERC / University of Leeds,"School of Earth and Environment, University of Leeds, Leeds, LS2 9J",53.8057,-1.5557,Yorkshire and The Humber,"NERC / University of Leeds, School of Earth and Environment, University of Leeds, Leeds, LS2 9J"
University of Dundee,"Room 1G04, Dalhousie Building, University of Dundee, Dundee, Scotland, UK, DD1 5EN",56.459408999999994,-2.981928,Scotland,"University of Dundee, Room 1G04, Dalhousie Building, University of Dundee, Dundee, Scotland, UK, DD1 5EN"
University of Huddersfield,"School of Applied Sciences, Huddersfield, HD1 3DH",53.642603,-1.778514,Yorkshire and The Humber,"University of Huddersfield, School of Applied Sciences, Huddersfield, HD1 3DH"
NERC / University of Bristol,"School of Earth Sciences, University of Bristol, Wills Memorial Building, Queens Road, Bristol BS8 1RJ. United Kingdom",51.456,-2.6039999999999996,South West,"NERC / University of Bristol, School of Earth Sciences, University of Bristol, Wills Memorial Building, Queens Road, Bristol BS8 1RJ. United Kingdom"
University of Southampton,"Room 2207 & Room 2209, Building 85",50.934345,-1.396227,South East,"University of Southampton, Room 2207 & Room 2209, Building 85"
University of Portsmouth,"University of Portsmouth, Room DS1.09, Dennis Sciama Bldg, Burnaby Road, Portsmouth, P01 3FX",50.797655999999996,-1.0982889999999998,South East,"University of Portsmouth, University of Portsmouth, Room DS1.09, Dennis Sciama Bldg, Burnaby Road, Portsmouth, P01 3FX"
ARCHER and SSI workshop for Women in Science and Engineering,"Atlas and Collab1 rooms, Kilburn Building, Oxford Road,  M13 9PL Manchester",53.467293000000005,-2.233876,North West,"ARCHER and SSI workshop for Women in Science and Engineering, Atlas and Collab1 rooms, Kilburn Building, Oxford Road,  M13 9PL Manchester"
University of Edinburgh,"Room 4325D, James Clerk Maxwell Building, Peter Guthrie Tait Road, Edinburgh, EH9 3FD.",55.921862,-3.173654,Scotland,"University of Edinburgh, Room 4325D, James Clerk Maxwell Building, Peter Guthrie Tait Road, Edinburgh, EH9 3FD."
University of Manchester,"Atlas Rooms 1 and 2, Kilburn Building, School of Computer Science, University of Manchester, Oxford Road, Manchester M13 9PL",53.467674,-2.233924,North West,"University of Manchester, Atlas Rooms 1 and 2, Kilburn Building, School of Computer Science, University of Manchester, Oxford Road, Manchester M13 9PL"
CoDiMa - University of Manchester,"University Place, Oxford Road, Manchester",53.466758,-2.233717,North West,"CoDiMa - University of Manchester, University Place, Oxford Road, Manchester"
"Royal Holloway, University of London","Royal Holloway, Egham Hill, Egham TW20 0EX",51.426608,-0.567005,South East,"Royal Holloway, University of London, Royal Holloway, Egham Hill, Egham TW20 0EX"
University College London,"ISD Training Room B07, 1-19 Torrington Place, London WC1E 7HB",51.522582,-0.134352,London,"University College London, ISD Training Room B07, 1-19 Torrington Place, London WC1E 7HB"
Culham Centre for Fusion Energy,"Abingdon, Oxfordshire, OX14 3DB, UK",51.6576076,-1.2287899,South East,"Culham Centre for Fusion Energy, Abingdon, Oxfordshire, OX14 3DB, UK"
University of Manchester,"PC Cluster 2 bay D, Stopford Building, Oxford Road, Manchester, M13 9PT",53.464141000000005,-2.230779,North West,"University of Manchester, PC Cluster 2 bay D, Stopford Building, Oxford Road, Manchester, M13 9PT"
,,51.5280395,-0.1015937,London,
University of Leeds,TBC,53.806484999999995,-1.555022,Yorkshire and The Humber,"University of Leeds, TBC"
University College London,university college london,51.521885,-0.134077,London,"University College London, university college london"
University of Oxford,"South Parks Road, OX1 3PS",51.7590106,-1.2511766000000002,South East,"University of Oxford, South Parks Road, OX1 3PS"
Imperial College London,school of mines building imperial college london prince consort road,51.499845,-0.17720999999999998,London,"Imperial College London, school of mines building imperial college london prince consort road"
University of Southampton,"Room 3077, Building 32,",50.934039,-1.396167,South East,"University of Southampton, Room 3077, Building 32,"
The University of Leeds - Advanced Research Computing,"Liberty Building G33, University of Leeds Business School, LS6 1AN",53.808282999999996,-1.562384,Yorkshire and The Humber,"The University of Leeds - Advanced Research Computing, Liberty Building G33, University of Leeds Business School, LS6 1AN"
University of Cambridge,"Bioinformatics Training Room, Craik-Marshall Building, Downing Site",52.201951,0.12251400000000001,Eastern,"University of Cambridge, Bioinformatics Training Room, Craik-Marshall Building, Downing Site"
University of Surrey,"University of Surrey, Guildford",51.242779999999996,-0.58958,South East,"University of Surrey, University of Surrey, Guildford"
NERC / University of Leeds,"School of Earth and Environment, University of Leeds, Leeds, LS2 9JT",53.8057,-1.5557,Yorkshire and The Humber,"NERC / University of Leeds, School of Earth and Environment, University of Leeds, Leeds, LS2 9JT"
SAP Headquarters near London Heathrow,"Clockhouse Place, Bedfont Road, Feltham, Middlesex TW14 8HD",51.449025,-0.445043,London,"SAP Headquarters near London Heathrow, Clockhouse Place, Bedfont Road, Feltham, Middlesex TW14 8HD"
University of St Andrews,"School of Physics and Astronomy, University of St Andrews, North Haugh, St Andrewws, KY16 9SS, Scotland",56.340084999999995,-2.807146,Scotland,"University of St Andrews, School of Physics and Astronomy, University of St Andrews, North Haugh, St Andrewws, KY16 9SS, Scotland"
University College London,"Cruciform B115A Cluster, University College London",51.524559,-0.13404000000000002,London,"University College London, Cruciform B115A Cluster, University College London"
University of Cambridge," Craik-Marshall Building, Downing Site, Cambridge",52.201965,0.12248599999999998,Eastern,"University of Cambridge,  Craik-Marshall Building, Downing Site, Cambridge"
University of Edinburgh,"James Clerk Maxwell Building, room 1.1206C, King's Buildings, Edinburgh EH9 3JZ",55.921552,-3.173641,Scotland,"University of Edinburgh, James Clerk Maxwell Building, room 1.1206C, King's Buildings, Edinburgh EH9 3JZ"
Imperial College London,"Imperial College London, ICT Training Room, 204 Central Library Sherfield Building, Exhibition Road, South Kensington, London, SW7 2AZ",51.4988,-0.174877,London,"Imperial College London, Imperial College London, ICT Training Room, 204 Central Library Sherfield Building, Exhibition Road, South Kensington, London, SW7 2AZ"
University College London,"1-19 Torrington Place, London",51.521882,-0.13408399999999998,London,"University College London, 1-19 Torrington Place, London"
"EPSRC & MRC Centre for Doctoral Training in Regenerative Medicine, University of Manchester","Room C24 in the Sackville St Building, Sackville Street, Manchester",53.4773,-2.2374,North West,"EPSRC & MRC Centre for Doctoral Training in Regenerative Medicine, University of Manchester, Room C24 in the Sackville St Building, Sackville Street, Manchester"
NERC / University of Leeds,"School of Earth and Environment, University of Leeds, Leeds, LS2 9JT",53.8057,-1.5557,Yorkshire and The Humber,"NERC / University of Leeds, School of Earth and Environment, University of Leeds, Leeds, LS2 9JT"
University of Oxford,"Atmospheric Oceanic and Planetary Physics Department, Dobson Room, Atmospheric Physics Building, Sherrington Road, Oxford",51.759155,-1.25596,South East,"University of Oxford, Atmospheric Oceanic and Planetary Physics Department, Dobson Room, Atmospheric Physics Building, Sherrington Road, Oxford"
Oxford University,"Wellcome Trust for Human Genetics, Roosevelt Drive, Oxford, OX3 7BN",51.752109999999995,-1.2152379999999998,South East,"Oxford University, Wellcome Trust for Human Genetics, Roosevelt Drive, Oxford, OX3 7BN"
University of Glasgow,"Lab 323, Kelvin Building, G12 8SU",55.871708999999996,-4.291651,Scotland,"University of Glasgow, Lab 323, Kelvin Building, G12 8SU"
University of Edinburgh,"Room 3217, James Clerk Maxwell Building, Peter Guthrie Tait Road, Edinburgh, EH9 3FD",55.921628000000005,-3.174155,Scotland,"University of Edinburgh, Room 3217, James Clerk Maxwell Building, Peter Guthrie Tait Road, Edinburgh, EH9 3FD"
University of Manchester,"Atlas 1-2 Room, Kilburn Building, Oxford Road, M13 9PL Manchester",53.467293000000005,-2.233876,North West,"University of Manchester, Atlas 1-2 Room, Kilburn Building, Oxford Road, M13 9PL Manchester"
NERC / University of Leeds,"Charles Thackrah Building, University of Leeds, Leeds, LS2 9JT",53.806999999999995,-1.5607,Yorkshire and The Humber,"NERC / University of Leeds, Charles Thackrah Building, University of Leeds, Leeds, LS2 9JT"
University of Liverpool,"Foresight Centre, 1 Brownlow Street, Liverpool, L69 3GL",53.4087914,-2.9723748,North West,"University of Liverpool, Foresight Centre, 1 Brownlow Street, Liverpool, L69 3GL"
"The Nowgen Centre, University of Manchester","29 Grafton Street, Manchester, M13 9WU",53.463651,-2.227592,North West,"The Nowgen Centre, University of Manchester, 29 Grafton Street, Manchester, M13 9WU"
University College London,"Gordon House 106 29 Gordon Square, London, WC1H 0PP",51.525003999999996,-0.13201300000000002,London,"University College London, Gordon House 106 29 Gordon Square, London, WC1H 0PP"
University College London,University College London,51.524559,-0.13404000000000002,London,"University College London, University College London"
Imperial College London,"Room 1.51, Royal School of Mines (RSM) Building, South Kensington Campus, Imperial College London, London.",51.499471,-0.1764,London,"Imperial College London, Room 1.51, Royal School of Mines (RSM) Building, South Kensington Campus, Imperial College London, London."
University of Cambridge,"Craik-Marshall Building, University of Cambridge, Downing Site, Cambridge, CB2 3AR",52.201893,0.12303,Eastern,"University of Cambridge, Craik-Marshall Building, University of Cambridge, Downing Site, Cambridge, CB2 3AR"
Cranfield University,"Computer Teaching Suite (room 252), Whittle Building (building 52), College Road, Cranfield, MK43 0AL",52.074389000000004,-0.629225,Eastern,"Cranfield University, Computer Teaching Suite (room 252), Whittle Building (building 52), College Road, Cranfield, MK43 0AL"
University of Nottingham,"University Park, NG7 2RD, Nottingham",52.938635999999995,-1.195158,East Midlands,"University of Nottingham, University Park, NG7 2RD, Nottingham"
University of Reading,"Department of Meteorology, Whiteknights, Earley Gate,Reading, RG6 7BE, Berkshire",51.4419,-0.9456,South East,"University of Reading, Department of Meteorology, Whiteknights, Earley Gate,Reading, RG6 7BE, Berkshire"
"G07, Royal School of Mines, Imperial College London","Prince Consort Road, South Kensington Campus, London SW7 2AZ",51.499715,-0.174904,London,"G07, Royal School of Mines, Imperial College London, Prince Consort Road, South Kensington Campus, London SW7 2AZ"
University College London,University College London,51.524559,-0.13404000000000002,London,"University College London, University College London"
National Oceanography Centre,"Waterfront Campus, European Way, Southampton, Hampshire, SO14 3ZH",50.893131,-1.39494,South East,"National Oceanography Centre, Waterfront Campus, European Way, Southampton, Hampshire, SO14 3ZH"
"GARNet, University of Warwick","School of Life Sciences on Gibbet Hill Campus, Coventry",52.3802961,-1.5639370000000001,West Midlands,"GARNet, University of Warwick, School of Life Sciences on Gibbet Hill Campus, Coventry"
University College London,London,51.5243625,-0.134475,London,"University College London, London"
Earlham Institute,"Norwich Research Park, Norwich",52.62176289999999,-1.240993,East Midlands,"Earlham Institute, Norwich Research Park, Norwich"
University of Manchester,"Room IT407, Information Technology Building, University of Manchester, Oxford Road, M13 9PL",53.467971999999996,-2.2331540000000003,North West,"University of Manchester, Room IT407, Information Technology Building, University of Manchester, Oxford Road, M13 9PL"
"Centre for Mathematical Sciences, University of Cambridge","Wilberforce Road, Cambridge",52.209868,0.10243900000000002,Eastern,"Centre for Mathematical Sciences, University of Cambridge, Wilberforce Road, Cambridge"
University of Dundee,"College of Life Sciences, University of Dundee, Dundee DD1 5EH",56.464,-2.97,Scotland,"University of Dundee, College of Life Sciences, University of Dundee, Dundee DD1 5EH"
University of Glasgow,"Room 320, Kelvin Building",55.87185,-4.29155,Scotland,"University of Glasgow, Room 320, Kelvin Building"
University of Edinburgh,"Room 3217, James Clark Maxwell Building, Kings Buildings, Mayfield Road, Edinburgh, EH9 3JZ",55.921628000000005,-3.174155,Scotland,"University of Edinburgh, Room 3217, James Clark Maxwell Building, Kings Buildings, Mayfield Road, Edinburgh, EH9 3JZ"
University of Exeter,"Reed Hall, Streatham Drive, Exeter, Devon EX4 4QR",50.735788,-3.5350330000000003,South West,"University of Exeter, Reed Hall, Streatham Drive, Exeter, Devon EX4 4QR"
Digital Greenwich,"11th Floor, Greenwich Digital Enterprise Centre, 6 Mitre Passage, London SE10 0ER",51.500659999999996,0.00663,London,"Digital Greenwich, 11th Floor, Greenwich Digital Enterprise Centre, 6 Mitre Passage, London SE10 0ER"
University College London,University College London,51.524559,-0.13404000000000002,London,"University College London, University College London"
University of Bristol, ,51.457971,-2.601474,South West,"University of Bristol,  "
University of Bath, ,51.3777431,-2.3263778999999998,South West,"University of Bath,  "
University of Southampton, ,50.937715999999995,-1.395599,South East,"University of Southampton,  "
University of Oxford, ,51.759865000000005,-1.258648,South East,"University of Oxford,  "
University of Manchester, ,53.4783491,-2.2416052000000004,North West,"University of Manchester,  "
"EGI Forum, Manchester",,53.467102000000004,-2.2339580000000003,North West,
University College London,,51.524789,-0.133578,London,
Queen Mary University London,Queen Mary University London,51.524066999999995,-0.040374,London,"Queen Mary University London, Queen Mary University London"
University of Edinburgh, ,55.945327899999995,-3.1911838,Scotland,"University of Edinburgh,  "
University of Oxford,New Biochemistry,51.7571373,-1.2569052,South East,"University of Oxford, New Biochemistry"
Newcastle University,,54.980095,-1.6146141999999999,North East,
University of York,University of York,53.94819329999999,-1.0529144,Yorkshire and The Humber,"University of York, University of York"
Rutherford Appleton Laboratory, ,51.573333,-1.314722,South East,"Rutherford Appleton Laboratory,  "
Newcastle University, ,54.980095,-1.6146141999999999,North East,"Newcastle University,  "
University College London, ,51.5598815,-0.1334579,London,"University College London,  "
